time,susceptible,exposed,infected,recovered,new_exposed,new_infected,new_recovered,deaths,error
32,0.9999960980689814,2.0182401820183546e-06,1.1436694364770676e-06,7.400214000733967e-07,4.0364803640367093e-07,1.345493454678903e-07,6.727467273394515e-08,0.0,0.9999999999999999
33,0.9999955598715996,2.2873388729541353e-06,1.2109441092110128e-06,8.072960728073419e-07,4.0364803640367093e-07,1.345493454678903e-07,6.727467273394515e-08,0.0,0.9999998654506546
34,0.9999950889488904,2.4891628911559705e-06,1.345493454678903e-06,8.072960728073419e-07,4.709227091376161e-07,1.345493454678903e-07,6.727467273394515e-08,6.727467273394515e-08,0.9999997981759817
35,0.9999945507515086,2.8928109275596414e-06,1.4800428001467934e-06,9.418454182752322e-07,4.709227091376161e-07,1.345493454678903e-07,6.727467273394515e-08,6.727467273394515e-08,0.9999999327253273
36,0.9999938107301085,3.2964589639633124e-06,1.6818668183486289e-06,1.0091200910091773e-06,4.709227091376161e-07,2.0182401820183546e-07,6.727467273394515e-08,6.727467273394515e-08,0.9999998654506546
37,0.9999932725327266,3.565557654899093e-06,1.8164161638165192e-06,1.0763947637431225e-06,5.381973818715612e-07,2.690986909357806e-07,6.727467273394515e-08,6.727467273394515e-08,0.9999997981759818
38,0.9999925325113266,4.036480364036709e-06,2.0182401820183546e-06,1.2109441092110128e-06,6.054720546055064e-07,4.0364803640367093e-07,6.727467273394515e-08,6.727467273394515e-08,0.9999998654506546
39,0.999991657940581,4.44012840044038e-06,2.2873388729541353e-06,1.278218781944958e-06,8.74570745541287e-07,4.0364803640367093e-07,6.727467273394515e-08,6.727467273394515e-08,0.999999730901309
40,0.9999905815458172,4.978325782311941e-06,2.4891628911559705e-06,1.6145921456146837e-06,9.418454182752322e-07,4.0364803640367093e-07,6.727467273394515e-08,6.727467273394515e-08,0.999999730901309
41,0.9999894378763807,5.651072509651393e-06,2.8928109275596414e-06,1.6818668183486289e-06,9.418454182752322e-07,4.709227091376161e-07,6.727467273394515e-08,6.727467273394515e-08,0.999999730901309
42,0.9999881596575988,6.323819236990844e-06,3.2964589639633124e-06,1.9509655092844093e-06,1.1436694364770676e-06,4.709227091376161e-07,1.345493454678903e-07,6.727467273394515e-08,0.9999997981759817
43,0.9999867468894714,7.063840637064241e-06,3.565557654899093e-06,2.152789527486245e-06,1.345493454678903e-06,4.709227091376161e-07,1.345493454678903e-07,6.727467273394515e-08,0.9999995963519637
44,0.9999852668466712,7.736587364403692e-06,4.036480364036709e-06,2.35461354568808e-06,1.4127681274128483e-06,5.381973818715612e-07,1.345493454678903e-07,6.727467273394515e-08,0.9999994618026181
45,0.9999837195291984,8.812982128146814e-06,4.44012840044038e-06,2.4891628911559705e-06,1.6145921456146837e-06,6.054720546055064e-07,2.0182401820183546e-07,1.345493454678903e-07,0.9999995963519636
46,0.9999817012890163,9.956651564623882e-06,4.978325782311941e-06,2.960085600293587e-06,1.8164161638165192e-06,8.072960728073419e-07,2.0182401820183546e-07,1.345493454678903e-07,0.999999730901309
47,0.9999798848728525,1.1167595673834895e-05,5.583797836917448e-06,3.161909618495422e-06,2.0182401820183546e-06,8.74570745541287e-07,3.363733636697258e-07,1.345493454678903e-07,0.9999999327253272
48,0.9999771938859432,1.2580363801247743e-05,6.323819236990844e-06,3.6328323276330384e-06,2.2873388729541353e-06,9.418454182752322e-07,4.0364803640367093e-07,1.345493454678903e-07,0.9999998654506546
49,0.9999745028990339,1.3858582583192701e-05,6.929291291596351e-06,4.171029709504599e-06,2.4218882184220256e-06,1.2109441092110128e-06,4.0364803640367093e-07,2.0182401820183546e-07,0.9999996636266364
50,0.9999713409894153,1.554044940154133e-05,7.736587364403692e-06,4.641952418642215e-06,2.8255362548256965e-06,1.345493454678903e-06,4.0364803640367093e-07,3.363733636697258e-07,0.9999995963519637
51,0.9999678427064331,1.7558689583559685e-05,8.74570745541287e-06,5.112875127779832e-06,3.2964589639633124e-06,1.4127681274128483e-06,4.709227091376161e-07,4.0364803640367093e-07,0.9999996636266364
52,0.9999638062260692,1.9913303129247764e-05,9.956651564623882e-06,5.651072509651393e-06,3.7001070003669833e-06,1.6145921456146837e-06,4.709227091376161e-07,4.0364803640367093e-07,0.9999997309013091
53,0.9999606443164506,2.1191521911192724e-05,1.1167595673834895e-05,6.3910939097247895e-06,3.3637336366972577e-06,1.749141491082574e-06,5.381973818715612e-07,4.0364803640367093e-07,0.9999997981759818
